#Trace Name,Misc notes,Collection Year,Publication,"Trace Type (Block Level, File Level, Aggregate, etc)",Trace Origin,Trace Length (# days),Trace Length (# Accesses/Entries),Platform (if known),R/W ratio,max IOPs,avg IOPs,Available?,Grouped / Labeled?,Snapshot or Dynamic?,Corpus size (GB/Entries),System size (GB),"System Use (e.g. Personal, Scientific, Enterprise, etc)","Num files (clarify if observed, at end, etc)",File Size Information MAY BE ESTIMATED OR EYEBALLED,median file size,Data read (Passive NFS Margo) GB/day,"Read Operations (Passive NFS Margo) (million per day, averaged)",Data Written (Passive NFS Margo) (GB/day),"Write Operations (Passive NFS Margo)(million per day, averaged)",R/W byte ratio (Passive NFS Margo),R/W Ops ratio (Passive NFS Margo),Length of time until cliff (10-minutes?)

SPRITE,,1991,"Mary G. Baker, John H. Hartman, Michael D. Kupfer, Ken W. Shirriff, and John K. Ousterhout. Measurements of a Distributed File System. In Proceedings of 13th ACM Symposium on Operating Systems Principles, pages 198– 212, Monterey, CA, October 1991.",,,8,,,,,,,,,,,,,,,5.36,0.207,1.16,0.057,4.6,3.61,

ncar01,,2010,,,"10.46 % reads, 2.25% writes, ",,,,73.4,,,,,,,,Archival,,,,,,,,,,

ncar2010,"All possible syscall types: 'BF', 'CMPT', 'REDCMP', 'READ', 'DA', 'BS', 'DV', 'REDCPY', 'CREATE', 'NG', 'BL', 'CRTEND', 'WRTSTR', 'PE', 'CH', 'WRTEND', 'REDVDT', 'AN', 'WRITE', 'CRTSTR', 'COPY', 'SH', 'MS'",2010,,,"8.9% reads, 4% writes, 13.34% creates",,14771864,,~2/1,,,,,,,,Archival,,,,,1326137,,595661,,,

argonne,See Sheet3,2010?,"Understanding and Improving Computational Science Storage Access through Continuous Characterization

PHILIP CARNS, KEVIN HARMS, WILLIAM ALLCOCK, CHARLES BACON, SAMUEL LANG, ROBERT LATHAM, and ROBERT ROSS, Argonne National Laboratory",fsstat,Scientific jobs,varied,varied,,,,,,,,,,,,,,,,,,,,

hadoop,,,Workload Characterization on a Production Hadoop Cluster: A Case Study on Taobao,,,,,,,,,,,,,,,,,,,,,,,,

msr-cambridge-rsrch01,,2007,Write Offloading (stats not from paper),Block I/O,Research Machines,7,433655,WinNT,9/91,3925,6.53,y,n,dyn,75MB,--,research,-,--,--,0.155,0.014847,1.21,0.144447,0.128,0.103,

ent-storage,,2010,HANDS (stats not from paper),block I/O,Enterprise,3,2161328,IBM XIV,,342142,75997,n,n,dyn,2.8GB,-,ent,-,-,--,,,,,,,
